label	i	c	o	span
x	furosemide	saline	breathlessness	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
gold	furosemide	0.9% saline	breathlessness, leg discomfort, chest tightness to exercise cessation were not significantly different across treatments.	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
x	furosemide	saline	chest tightness	The relative contributions of breathlessness [0.9% saline, 41.9 ± 3.4%; 40 mg furosemide, 40.2 ± 3.6%; 120 mg furosemide, 39.4 ± 4.0% (p = 0.876)], leg discomfort [0.9% saline, 55.4 ± 4.1%; 40 mg furosemide, 54.4 ± 4.2%; 120 mg furosemide, 51.7 ± 4.6% (p = 0.746)] and chest tightness [0.9% saline, 2.4 ± 1.5%; 40 mg furosemide, 0.8 ± 0.8%; 120 mg furosemide, 6.0 ± 3.3% (p = 0.170)] to exercise cessation were not significantly different across treatments.
gold	Insulin + Pramlintide (6 mcg/U)	Insulin + Pramlintide (12 mcg/U)	Elevation of glucose and glucagon after 1 hour	Compared with placebo/insulin, all three pramlintide/insulin ratios produced marked and statistically equivalent reductions of increments of glucose and glucagon in the first hour, with levels subsequently increasing.
x	pramlintide / insulin	placebo / insulin	increments of glucose and glucagon	Compared with placebo/insulin, all three pramlintide/insulin ratios produced marked and statistically equivalent reductions of increments of glucose and glucagon in the first hour, with levels subsequently increasing.
gold	Insulin + Pramlintide (all doses)	Insulin alone	Glucagon AUC 0–3 h	Reductions of AUC0–3 h for glucagon for the 6, 9 and 12 mcg/U were 57, 59 and 55% (Table 1; all doses vs placebo: p < 0.05).
x	glucagon	placebo	AUC0 – 3 h	Reductions of AUC0–3 h for glucagon for the 6, 9 and 12 mcg/U were 57, 59 and 55% (Table 1; all doses vs placebo: p < 0.05).
gold	Insulin + Pramlintide (all doses)	Insulin alone	Glucose AUC 0–3 h	The AUC0–3 h for glucose was reduced by 60, 58 and 72% for the 6, 9 and 12 mcg/U ratios (Table 1; all doses vs placebo: p < 0.001)
c	placebo	meal ‐ time and basal hormone replacement	AUC0 – 3 h for glucose	The AUC0–3 h for glucose was reduced by 60, 58 and 72% for the 6, 9 and 12 mcg/U ratios (Table 1; all doses vs placebo: p < 0.001).
gold	Insulin + Pramlintide (all doses)	Insulin alone	Hypoglycemia after 24 hours	No symptomatic hypoglycaemia occurred during the 24‐h period after pramlintide administration.
c	pramlintide	pramlintide	symptomatic hypoglycaemia	No symptomatic hypoglycaemia occurred during the 24‐h period after pramlintide administration.
gold	gutta-percha/AH26 	Resilon/RealSeal SE samples	residual antimicrobial activity of CHX at one week and at three and six weeks	The results showed that residual antimicrobial activity of CHX was significantly higher in gutta-percha/AH26 samples than in Resilon/RealSeal SE samples (P=0.02 at one week and P=0.003 at three and six weeks, respectively).
c	CHX	Resilon	residual antimicrobial activity of	The results showed that residual antimicrobial activity of CHX was significantly higher in gutta-percha/AH26 samples than in Resilon/RealSeal SE samples (P=0.02 at one week and P=0.003 at three and six weeks, respectively).
gold	lidocaine (5 mgs/kg)	placebo	intensity of pain	ntravenous lidocaine was superior regarding the reduction of the intensity of pain, the allodynia, and the hyperalgesia compared to placebo.
x	lidocaine	placebo	intensity of pain , the allodynia , and the hyperalgesia	Intravenous lidocaine was superior regarding the reduction of the intensity of pain, the allodynia, and the hyperalgesia compared to placebo.
gold	lidocaine (5 mgs/kg)	placebo	intensity of pain	Both lidocaine and placebo reduced the intensity of pain, at the end of each session; however, lidocaine achieved a greater reduction compared to placebo (76.4% versus 40.1%, P < 0.001).
x	lidocaine	placebo	intensity of pain	Both lidocaine and placebo reduced the intensity of pain, at the end of each session; however, lidocaine achieved a greater reduction compared to placebo (76.4% versus 40.1%, P < 0.001).
gold	indacaterol 150 μg o.d	placebo	forced expiratory volume in 1 s (FEV1) at Week 12	Trough FEV1 (LSM ± SEM) at Week 12 was 1.48 ± 0.018 L for indacaterol and 1.35 ± 0.019 L for placebo, a clinically relevant difference of 130 ± 24 mL (p < 0.001).
x	indacaterol	placebo	Trough FEV1	Trough FEV1 (LSM ± SEM) at Week 12 was 1.48 ± 0.018 L for indacaterol and 1.35 ± 0.019 L for placebo, a clinically relevant difference of 130 ± 24 mL (p < 0.001).
gold	indacaterol 150 μg o.d	placebo	FEV1 after one dose	Trough FEV1 after one dose was significantly higher with indacaterol than placebo (p < 0.001).
x	indacaterol	placebo	Trough FEV1	Trough FEV1 after one dose was significantly higher with indacaterol than placebo (p < 0.001).
gold	indacaterol 150 μg o.d	placebo	Standardised AUC measurements for FEV1 at Week 12	Standardised AUC measurements for FEV1 (between 5 min and 4 h, 5 min and 1 h, and 1 and 4 h post-dose) at Week 12 were all significantly greater with indacaterol than placebo (p < 0.001), with LSM (± SEM) differences of 170 ± 24, 180 ± 24, and 170 ± 24 mL, respectively.
x	indacaterol	placebo	AUC measurements for FEV1	Standardised AUC measurements for FEV1 (between 5 min and 4 h, 5 min and 1 h, and 1 and 4 h post-dose) at Week 12 were all significantly greater with indacaterol than placebo (p < 0.001), with LSM (± SEM) differences of 170 ± 24, 180 ± 24, and 170 ± 24 mL, respectively.
gold	indacaterol 150 μg o.d	placebo	The overall rate of adverse events (ASs)	The overall rates of AEs were comparable between the groups (indacaterol 49.3%, placebo 46.8%)
x	indacaterol	placebo	AEs	The overall rates of AEs were comparable between the groups (indacaterol 49.3%, placebo 46.8%), with the most common AEs being COPD worsening (indacaterol 8.5%, placebo 12.2%) and cough (indacaterol 6.2%, placebo 7.3%).
gold	indacaterol 150 μg o.d	placebo	The overall rate of adverse events (ASs)	The overall rates of AEs were comparable between the groups (indacaterol 49.3%, placebo 46.8%)
x	indacaterol	placebo	COPD worsening	The overall rates of AEs were comparable between the groups (indacaterol 49.3%, placebo 46.8%), with the most common AEs being COPD worsening (indacaterol 8.5%, placebo 12.2%) and cough (indacaterol 6.2%, placebo 7.3%).
gold	Interactive Voice Response	Questionnaire sent by post	Need for reminders	There was less need for reminders in the IVR group (p = 0.000).
c	IVR	IVR	need for reminders	There was less need for reminders in the IVR group (p = 0.000).
gold	liposome bupivacaine	bupivacaine HCl	cumulative pain	In the analysis of cumulative pain intensity scores through 72 hours, liposome bupivacaine was associated with lower pain scores than the comparator in 16 of 19 treatment arms assessed, achieving statistically significant differences compared with bupivacaine HCl (P < 0.05) in five of 17 treatment arms
x	liposome bupivacaine	bupivacaine HCl	pain scores	In the analysis of cumulative pain intensity scores through 72 hours, liposome bupivacaine was associated with lower pain scores than the comparator in 16 of 19 treatment arms assessed, achieving statistically significant differences compared with bupivacaine HCl (P < 0.05) in five of 17 treatment arms.
gold	liposome bupivacaine	bupivacaine HCl	cumulative pain	In the analysis of cumulative pain intensity scores through 72 hours, liposome bupivacaine was associated with lower pain scores than the comparator in 16 of 19 treatment arms assessed, achieving statistically significant differences compared with bupivacaine HCl (P < 0.05) in five of 17 treatment arms
x	liposome bupivacaine	bupivacaine HCl	cumulative pain intensity scores	In the analysis of cumulative pain intensity scores through 72 hours, liposome bupivacaine was associated with lower pain scores than the comparator in 16 of 19 treatment arms assessed, achieving statistically significant differences compared with bupivacaine HCl (P < 0.05) in five of 17 treatment arms.
gold	liposome bupivacaine	bupivacaine HCl and placebo	The median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
x	bupivacaine HCl	placebo	median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
gold	liposome bupivacaine	bupivacaine HCl and placebo	The median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
x	liposome bupivacaine	bupivacaine HCl	median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
gold	liposome bupivacaine	bupivacaine HCl and placebo	The median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
x	liposome bupivacaine	placebo	median time to first postsurgical use of rescue opioid medication	The median time to first postsurgical use of rescue opioid medication was significantly longer with liposome bupivacaine (9.3 hours) compared with bupivacaine HCl (6.4 hours; P = 0.013) and placebo (3.6 hours; P < 0.0001).
gold	liposome bupivacaine 266 mg 	placebo	"satisfied� or "extremely satisfied� with their postoperative analgesia at 24 hours after surgery	At 24 hours after surgery in this study, 95% of patients in the liposome bupivacaine 266 mg group were "satisfied" or "extremely satisfied" with their postoperative analgesia compared with 72% in the placebo group (P = 0.0007)
x	placebo	liposome bupivacaine	postoperative analgesia	At 24 hours after surgery in this study, 95% of patients in the liposome bupivacaine 266 mg group were "satisfied" or "extremely satisfied" with their postoperative analgesia compared with 72% in the placebo group (P = 0.0007).
gold	liposome bupivacaine 532 mg at day 8	bupivacaine HCl 150 mg group at day 8	mean satisfaction ratings, based on an 11-point NRS (0 = completely unsatisfied; 10 = completely satisfied)	Statistically significant differences in favor of liposome bupivacaine were also observed in study 3, where mean satisfaction ratings, based on an 11-point NRS (0 = completely unsatisfied; 10 = completely satisfied), were 9.2 in the liposome bupivacaine 532 mg group and 8.3 in the bupivacaine HCl 150 mg group (P = 0.045) at day 8, and in study 4 where mean ratings in the liposome bupivacaine 266 mg and bupivacaine HCl 75 mg groups were 7.4 and 6.0, respectively (P = 0.03) at 96 hours.
x	bupivacaine HCl	liposome bupivacaine	mean satisfaction ratings	Statistically significant differences in favor of liposome bupivacaine were also observed in study 3, where mean satisfaction ratings, based on an 11-point NRS (0 = completely unsatisfied; 10 = completely satisfied), were 9.2 in the liposome bupivacaine 532 mg group and 8.3 in the bupivacaine HCl 150 mg group (P = 0.045) at day 8, and in study 4 where mean ratings in the liposome bupivacaine 266 mg and bupivacaine HCl 75 mg groups were 7.4 and 6.0, respectively (P = 0.03) at 96 hours.
gold	rifaximin followed by the probiotic VSL#3	no treatment	progression of chronic prostatitis plus IBS toward chronic microbial prostate-vesiculitis (PV) or prostate-vesiculo-epididymitis (PVE) in infertile males	Long-term treatment with rifaximin and the probiotic VSL#3 is effective in lowering the progression of prostatitis into more complicated forms of male accessory gland infections
x	rifaximin	probiotic VSL # 3	prostatitis	Long-term treatment with rifaximin and the probiotic VSL#3 is effective in lowering the progression of prostatitis into more complicated forms of male accessory gland infections in infertile patients with bacteriologically cured CBP plus IBS.
gold	Riociguat group	Placebo group	Pulmonary vascular resistance	PVR significantly decreased in the riociguat group (−29%) compared with placebo (+3%) by a least-squares (LS) mean difference of 246 dyn s/cm5 (95% CI −303 to −190; p<0.0001)
x	riociguat	placebo	PVR	PVR significantly decreased in the riociguat group (−29%) compared with placebo (+3%) by a least-squares (LS) mean difference of 246 dyn s/cm5 (95% CI −303 to −190; p<0.0001) (figure 1).
gold	crystalloid	colloid	Frequency of nausea	At 2 hours the proportion of the patients experiencing nausea (38.2 vs 17.9%, P = 0.03) (Figure 2, Panel A) and the mean nausea score (1.49 ± 0.3 vs 0.68 ± 0.2, P = 0.028) (Figure 2, Panel B) and were increased in the colloid group compared to crystalloid respectively.
c	crystalloid	colloid ( hydroxyethyl starch 130 / 0 . 4 )	patients experiencing nausea	At 2 hours the proportion of the patients experiencing nausea (38.2 vs 17.9%, P = 0.03) (Figure 2, Panel A) and the mean nausea score (1.49 ± 0.3 vs 0.68 ± 0.2, P = 0.028) (Figure 2, Panel B) and were increased in the colloid group compared to crystalloid respectively.
gold	crystalloid	colloid	Frequency of nausea	At 2 hours the proportion of the patients experiencing nausea (38.2 vs 17.9%, P = 0.03) (Figure 2, Panel A) and the mean nausea score (1.49 ± 0.3 vs 0.68 ± 0.2, P = 0.028) (Figure 2, Panel B) and were increased in the colloid group compared to crystalloid respectively.
c	crystalloid	colloid ( hydroxyethyl starch 130 / 0 . 4 )	mean nausea score	At 2 hours the proportion of the patients experiencing nausea (38.2 vs 17.9%, P = 0.03) (Figure 2, Panel A) and the mean nausea score (1.49 ± 0.3 vs 0.68 ± 0.2, P = 0.028) (Figure 2, Panel B) and were increased in the colloid group compared to crystalloid respectively.
gold	Pharmacist telephone counseling	Usual care	Adherence in patients starting with RAS-inhibitors, statins and bisphosphonates.	Comparing patients with counseling to patients with usual care (per protocol analysis), adherence was statistically significant higher for patients starting with RAS-inhibitors, statins and bisphosphonates.
x	usual care	RAS - inhibitors , statins and bisphosphonates .	adherence	Comparing patients with counseling to patients with usual care (per protocol analysis), adherence was statistically significant higher for patients starting with RAS-inhibitors, statins and bisphosphonates.
gold	Pharmacist telephone counseling	Usual care	Adherence in patients starting with antidepressants	For antidepressants we found no significant difference in adherence rate between patients in the intervention arm (62.7% SD 41.7) and patients with usual care (66.8%, 40.9).
c	usual care	intervention for antidepressants and bisphosphonates and usual care for RAS - inhibitors and statins .	adherence rate	For antidepressants we found no significant difference in adherence rate between patients in the intervention arm (62.7% SD 41.7) and patients with usual care (66.8%, 40.9).
gold	0.25 μg calcitriol per day for one year	placebo	osteoclacin (OC) and β-CrossLaps levels	No significant differences were observed between calcitriol and placebo groups for OC (37.2±11.8 ng/ml vs 25.8±7.4 ng/ml; P = 0.39) and β-CrossLaps (0.33±0.07 ng/ml vs 0.50±0.12 ng/ml; P = 0.29) (table 2).
x	calcitriol	placebo	β - CrossLaps	No significant differences were observed between calcitriol and placebo groups for OC (37.2±11.8 ng/ml vs 25.8±7.4 ng/ml; P = 0.39) and β-CrossLaps (0.33±0.07 ng/ml vs 0.50±0.12 ng/ml; P = 0.29) (table 2).
gold	0.25 μg calcitriol per day for one year	placebo	osteoclacin (OC) and β-CrossLaps levels	No significant differences were observed between calcitriol and placebo groups for OC (37.2±11.8 ng/ml vs 25.8±7.4 ng/ml; P = 0.39) and β-CrossLaps (0.33±0.07 ng/ml vs 0.50±0.12 ng/ml; P = 0.29) (table 2).
x	calcitriol	placebo	OC	No significant differences were observed between calcitriol and placebo groups for OC (37.2±11.8 ng/ml vs 25.8±7.4 ng/ml; P = 0.39) and β-CrossLaps (0.33±0.07 ng/ml vs 0.50±0.12 ng/ml; P = 0.29) (table 2).
gold	High-intensity interval training (HIIT) plus either ginger or placebo	Ginger alone	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
x	exercise + placebo	ginger	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
gold	High-intensity interval training (HIIT) plus either ginger or placebo	Ginger alone	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
x	exercise + placebo	exercise + ginger	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
gold	High-intensity interval training (HIIT) plus either ginger or placebo	Ginger alone	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
x	ginger	exercise + ginger	VO2max	Tukey's post hoc test revealed increased VO2max in both "exercise + ginger" (P < 0.000) and "exercise + placebo" (P < 0.000) groups, in comparison to "ginger" group.
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	Time to first pulmonary exacerbation	DRCFI treatment delayed time to first pulmonary exacerbation (median 134 vs 58 days, p=0.057 mITT, p=0.046 per protocol).
c	DRCFI	DRCFI	time to first pulmonary exacerbation	DRCFI treatment delayed time to first pulmonary exacerbation (median 134 vs 58 days, p=0.057 mITT, p=0.046 per protocol).
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	Systemic adverse events	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group
c	placebo	DRCFI	systemic adverse events	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group, but fewer pulmonary adverse events.
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	Systemic adverse events	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group
c	placebo	DRCFI	tolerated	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group, but fewer pulmonary adverse events.
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	Systemic adverse events	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group
c	placebo	DRCFI	pulmonary adverse events .	DRCFI was well tolerated with a similar incidence of systemic adverse events to the placebo group, but fewer pulmonary adverse events.
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	Time to first pulmonary exacerbation	The median time to pulmonary exacerbation by Kaplan–Meier analysis was 134 days for the DRCFI group and 58 days for the placebo group, although this achieved conventional statistical significance only on the per protocol population (p=0.057 mITT, p=0.046 per protocol, by log-rank test; see figure 3).
c	placebo	DRCFI )	median time to pulmonary exacerbation	The median time to pulmonary exacerbation by Kaplan–Meier analysis was 134 days for the DRCFI group and 58 days for the placebo group, although this achieved conventional statistical significance only on the per protocol population (p=0.057 mITT, p=0.046 per protocol, by log-rank test; see figure 3).
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	FEV1, SGRQ total score, and 6MWT distance	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
c	placebo	aminoglycosides	FEV1	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	FEV1, SGRQ total score, and 6MWT distance	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
c	placebo	Inhaled corticosteroids	6MWT distance	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
gold	Dual release ciprofloxacin for inhalation (DRCFI)	Placebo	FEV1, SGRQ total score, and 6MWT distance	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
c	placebo	aminoglycoside antibiotics	SGRQ total score	No significant differences were seen between the two treatment groups for changes to day 28 for other outcome measures including FEV1 (DRCFI −0.05±0.12 vs placebo 0.00±0.10 L, p=0.18), SGRQ total score (DRCFI −1.3±7.16 vs placebo −6.4±9.8, p=0.08) or 6MWT distance (DRCFI 0.6±71.6 vs placebo −7.6±92.3 m, p=0.54).
gold	oral marine protein supplement (MPS)	placebo	mean number of terminal hairs	MPS-treated subjects achieved a significant increase in the number of terminal hairs within the target area (P < 0.0001) which was significantly greater than placebo (P < 0.0001).
x	MPS	placebo	number of terminal hairs within the target area	MPS-treated subjects achieved a significant increase in the number of terminal hairs within the target area (P < 0.0001) which was significantly greater than placebo (P < 0.0001).
gold	oral marine protein supplement (MPS)	placebo	total scores on the Quality of Life Questionnaire	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
c	MPS	MPS	hair shedding	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
gold	oral marine protein supplement (MPS)	placebo	total scores on the Quality of Life Questionnaire	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
c	MPS	MPS	total Self - Assessment	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
gold	oral marine protein supplement (MPS)	placebo	total scores on the Quality of Life Questionnaire	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
c	MPS	MPS	Quality of Life Questionnaires scores	MPS use also resulted in significantly less hair shedding (P = 0.002) and higher total Self-Assessment (P = 0.006) and Quality of Life Questionnaires scores (P = 0.035).
gold	Tailored letters	Practitioner-delivered brief advice	24-hour point prevalence abstinence	the tailored letters intervention was significantly more effective than brief advice for 24-hour [odds ratio (OR) = 1.4; P = 0.047] but not for 7-day point prevalence abstinence (OR = 1.4; P = 0.068) for prolonged abstinence, or for alternative assumptions about participants lost to follow-up.
c	tailored letters intervention	computer - tailored letters and physician - delivered brief advice	point prevalence abstinence	Using complete case analysis, the tailored letters intervention was significantly more effective than brief advice for 24-hour [odds ratio (OR) = 1.4; P = 0.047] but not for 7-day point prevalence abstinence (OR = 1.4; P = 0.068) for prolonged abstinence, or for alternative assumptions about participants lost to follow-up.
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein B-100 (apo B)	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
x	placebo	evacetrapib	apo B	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein B-100 (apo B)	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
x	placebo	evacetrapib	CETP activity	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein B-100 (apo B)	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
x	placebo	evacetrapib	LDL - C	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein B-100 (apo B)	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
x	placebo	evacetrapib	HDL - C	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein B-100 (apo B)	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
x	placebo	evacetrapib	apo AI	At the highest dose (600 mg), evacetrapib significantly inhibited CETP activity (91%), increased HDL-C (87%) and apo AI (42%), and decreased LDL-C (29%) and apo B (26%) relative to placebo.
gold	evacetrapib (10–600 mg)	placebo	high-density lipoprotein-cholesterol (HDL-C)	At the highest dose tested (600 mg), evacetrapib increased HDL-C by 86.8% (P < 0.001 vs placebo)
x	placebo	evacetrapib	LDL	At the highest dose tested (600 mg), evacetrapib increased HDL-C by 86.8% (P < 0.001 vs placebo) and decreased LDL by 28.6% (P < 0.001 vs placebo) from baseline to Day 14.
gold	evacetrapib (10–600 mg)	placebo	high-density lipoprotein-cholesterol (HDL-C)	At the highest dose tested (600 mg), evacetrapib increased HDL-C by 86.8% (P < 0.001 vs placebo)
x	placebo	evacetrapib	HDL - C	At the highest dose tested (600 mg), evacetrapib increased HDL-C by 86.8% (P < 0.001 vs placebo) and decreased LDL by 28.6% (P < 0.001 vs placebo) from baseline to Day 14.
gold	evacetrapib (10–600 mg)	placebo	systolic blood pressure (SBP) and diastolic blood pressure (DBP)	No significant differences in either SBP or DBP were observed with evacetrapib 600 mg compared with placebo (Table 3).
x	placebo	evacetrapib	SBP or DBP	No significant differences in either SBP or DBP were observed with evacetrapib 600 mg compared with placebo (Table 3).
gold	evacetrapib (10–600 mg)	placebo	Apolipoprotein AI (apo AI)	The increase in apo AI and decreases in apo B and ratio of apo B to apo AI were significant at all dose levels of evacetrapib.
c	evacetrapib	Evacetrapib	apo AI and decreases in apo B and ratio of apo B to apo AI	The increase in apo AI and decreases in apo B and ratio of apo B to apo AI were significant at all dose levels of evacetrapib.
gold	Uracil-tegafur and leucovorin	Control	Recurrence-free survival	UFT/LV significantly prolonged the RFS compared with surgery alone with the hazard ratio of 0.56 (95% confidence interval, 0.38–0.83; P = 0.003)
c	UFT / LV	surgery alone	RFS	UFT/LV significantly prolonged the RFS compared with surgery alone with the hazard ratio of 0.56 (95% confidence interval, 0.38–0.83; P = 0.003).
gold	Uracil-tegafur and leucovorin	Control	Overall survival	The OS rates at 5 years were similar between the UFT/LV and surgery alone groups (66.1% vs. 66.8%, Fig 2-B) with the hazard ratio of 0.80 (95% confidence interval, 0.48–1.35; P = 0.409).
c	UFT / LV	oral UFT / LV or surgery alone	OS rates	The OS rates at 5 years were similar between the UFT/LV and surgery alone groups (66.1% vs. 66.8%, Fig 2-B) with the hazard ratio of 0.80 (95% confidence interval, 0.48–1.35; P = 0.409).
gold	Uracil-tegafur and leucovorin	Control	Resection rates	The resection rates for the first recurrence were similar between the UFT/LV and surgery alone groups
c	UFT / LV	oral UFT / LV or surgery alone	resection rates for the first recurrence	The resection rates for the first recurrence were similar between the UFT/LV and surgery alone groups (55.9% vs. 41.0%).
